Well,Operator
BEAL 1,CML Exploration
BENGE UNIT 1H,CML Exploration
BRADSHAW 1,CML Exploration
"BUCHANAN, R. UNIT 1",CML Exploration
CALDWELL 1,CML Exploration
CARROLL UNIT 1,CML Exploration
CK 1,CML Exploration
COFFMAN 1H,CML Exploration
DELLA 1,CML Exploration
DRAKE 2,CML Exploration
EVA 1,CML Exploration
FEATHER CREST FARMS 1,CML Exploration
FLORA 1,CML Exploration
FLOYD 1,CML Exploration
FRIDEL UNIT 1,CML Exploration
HARRISON 2H,CML Exploration
HAYES 2,CML Exploration
HERBICH 1H,CML Exploration
HERBICH UNIT 2H,CML Exploration
ISBELL 1,CML Exploration
JAM 1,CML Exploration
"JONES, E.E. UNIT 1",CML Exploration
JOYCE 1,CML Exploration
KADAV 1,CML Exploration
KAGG 2,CML Exploration
KENNEDY 1,CML Exploration
KNOTTS UNIT 1H,CML Exploration
KNOTTS-YEAGER UNIT 1,CML Exploration
LEON T-BAR-X UNIT 1,CML Exploration
LLOYD 1,CML Exploration
MCDUFFIE UNIT #1,CML Exploration
MOSLEY 1,CML Exploration
MT UNIT 1H,CML Exploration
MURPHEY-SMITH 1,CML Exploration
MYRTLE 1,CML Exploration
NEVILL 1,CML Exploration
ORTIZ UNIT 1,CML Exploration
OWEN 1H,CML Exploration
PETERS 5,CML Exploration
PETERS 6,CML Exploration
PETERS UNIT 7,CML Exploration
POST OAK 2,CML Exploration
R.B. CLARY 1,CML Exploration
RA 1,CML Exploration
RUEN 3X,CML Exploration
SANDIFER UNIT 1,CML Exploration
"SMITH, GEORGETTE 1",CML Exploration
SOELL 1,CML Exploration
SPILLER T-BAR-X 1,CML Exploration
SUTTON 3,CML Exploration
TIMOTHY UNIT 1,CML Exploration
URSO 1,CML Exploration
WARREN H 1,CML Exploration
WATSON-BUCK 1H,CML Exploration
WEBB 1,CML Exploration
WHITE-SPRINGER 1,CML Exploration
WIESE 1H,CML Exploration
WILLIAM 1,CML Exploration
WILLIE 1,CML Exploration
WILSON 1,CML Exploration
WS 1,CML Exploration
GLYNDA 2,COMSTOCK
SOCAUSKY/T-BAR-X 1,GIANT ENERGY
GOLDSMITH-BENGE A.Y. 4,GOLDSMITH OPERATING
BEULAH GOEN UNIT 1RE,MAGNOLIA OIL & GAS
C. F. GOEN UNIT 1RE,MAGNOLIA OIL & GAS
GIANT UNIT 1,MAGNOLIA OIL & GAS
"GOEN, OLIVER F. UNIT 1",MAGNOLIA OIL & GAS
MARCELLA GOEN UNIT 1RE,MAGNOLIA OIL & GAS
WHEATON CATTLE COMPANY 2 1H,"TRAILBLAZER ENERGY RESOURCES, LLC"
LOTT-WILSON 1H,VESS OIL
NORMAN UNIT 1,WCS OIL & GAS CORPORATION
BAUGH (ALLOCATION) 1H,WILDFIRE ENERGY
BERETTA 1H,WILDFIRE ENERGY
CAMP 1H,WILDFIRE ENERGY
DOMINIK UNIT 2H,WILDFIRE ENERGY
ENDLER UNIT 1,WILDFIRE ENERGY
EWERT 1H,WILDFIRE ENERGY
EWERT 3H,WILDFIRE ENERGY
GALAH 3H,WILDFIRE ENERGY
GIBBS BROTHERS 2H,WILDFIRE ENERGY
GOEN FAMILY 2H,WILDFIRE ENERGY
GOEN FAMILY 3H,WILDFIRE ENERGY
GREY (ALLOCATION) 1H,WILDFIRE ENERGY
HARVEY 3H,WILDFIRE ENERGY
HUGH THOMPSON UNIT II 1,WILDFIRE ENERGY
JAVELINA 1H,WILDFIRE ENERGY
KOONTZ HEIRS 1H,WILDFIRE ENERGY
LEBON 1H,WILDFIRE ENERGY
LEBON 2H,WILDFIRE ENERGY
MILES UNIT 1H,WILDFIRE ENERGY
MILES UNIT 2H,WILDFIRE ENERGY
MORRIS (ALLOCATION) 1H,WILDFIRE ENERGY
O'BRIEN (ALLOCATION) 1H,WILDFIRE ENERGY
OLTMANN 2H,WILDFIRE ENERGY
RAE 3H,WILDFIRE ENERGY
RAE 4H,WILDFIRE ENERGY
RANGER (ALLOCATION) 1H,WILDFIRE ENERGY
RIDGEBACK 2H,WILDFIRE ENERGY
RODGERS 1H,WILDFIRE ENERGY
RODGERS 3H,WILDFIRE ENERGY
SEA WASP 2H,WILDFIRE ENERGY
STILLWAGON 4H,WILDFIRE ENERGY
STINGRAY 2H,WILDFIRE ENERGY
THOMAS (ALLOCATION) 1H,WILDFIRE ENERGY
TUCKER UNIT 2H,WILDFIRE ENERGY
WALKER FAMILY 3H,WILDFIRE ENERGY
WILFRED DAINTY 4H,WILDFIRE ENERGY
WILSON 191 1H,WILDFIRE ENERGY
WOMBAT 1H,WILDFIRE ENERGY
WOMBAT 3H,WILDFIRE ENERGY
