Well Name,Last Production,Days since 2023-09-07
Aaron #1,2023-09-04,3.0
Allen #1,2016-03-27,2720.0
Anhaiser #1,2016-09-02,2561.0
Aniken #1,2023-08-15,23.0
Anna Louisa #1,2020-09-25,1077.0
Annpick #1,2023-09-07,0.0
BMMP #1,2023-09-07,0.0
Balfour #1,2023-09-07,0.0
Barrier #1,2023-09-07,0.0
Beeler Ranch #1,2023-09-07,0.0
Bermuda #1,2023-08-22,16.0
Betty #1,2019-02-17,1663.0
Big Sonny #1,2023-08-28,10.0
Blackmon #1,2023-09-07,0.0
Blas Reyes #1,2023-09-07,0.0
Bond #1,2023-09-05,2.0
Bowman #1,2017-03-26,2356.0
Box #1,2016-12-08,2464.0
Branton #1,2022-12-13,268.0
Bruce Weaver #1,2023-09-06,1.0
Bruce Weaver #2,2022-12-31,250.0
Bruce Weaver #2 RE,2023-09-07,0.0
Buck #1,,
Burns Ranch #2,2023-09-07,0.0
Burns Ranch Gt #1,2023-01-13,237.0
CR #101,2023-09-07,0.0
CR #201,2023-09-07,0.0
CR #301,2023-09-07,0.0
CR #302,2023-09-07,0.0
CR #401,2023-09-05,2.0
CR #501,2023-09-04,3.0
CR #939,2023-09-07,0.0
CT #1,2023-09-07,0.0
Cannan #1,2023-09-07,0.0
Carolpick #1,2023-09-07,0.0
Carolyn #1,2023-09-07,0.0
Caza #1,2013-08-25,3665.0
Cenizo #1,2023-09-07,0.0
Chad #1,2023-09-07,0.0
Charles B #1,2023-09-07,0.0
Circle T #1,2023-09-06,1.0
Clayton #1,2018-11-06,1766.0
Cornett #1,2018-06-12,1913.0
Cornett #1 Swd,2023-07-20,49.0
Cross S #1,2023-09-06,1.0
Dale #1,2023-09-07,0.0
Dial #1,2022-09-03,369.0
Dial #1 ST,2023-09-07,0.0
Dillard #1,2023-09-07,0.0
Drinkard #1,2023-09-07,0.0
Dunkle #1,2012-12-12,3921.0
Dunkle #2,2023-09-02,5.0
Dunlap #1,2023-09-07,0.0
Dyess #1,2023-09-07,0.0
Eileen #1,2023-09-06,1.0
Elaine #1,2011-09-22,4368.0
Evergreen #1,2023-09-07,0.0
Fatheree #1,2023-09-07,0.0
Fgp #1,2012-04-26,4151.0
Flower #1,2023-09-07,0.0
Flying G #1,2018-09-20,1813.0
Gail #1,2023-09-07,0.0
Gil #1,2023-09-06,1.0
Grissom #1,2023-09-06,1.0
Haby #1,2018-07-18,1877.0
Harold #1,2013-07-27,3694.0
Heitz #1,2019-06-08,1552.0
Huber #1,2020-07-29,1135.0
J Beeler #1,2023-09-07,0.0
JIC #1,2023-09-07,0.0
JIC Buda #1,2023-09-07,0.0
JJ #1,2023-09-07,0.0
Jessica #1,2023-09-07,0.0
Joe #1,2023-08-14,24.0
Joseph #1,2023-09-04,3.0
Jred #1,2023-09-07,0.0
Kay #1,2023-09-07,0.0
Kiley #1,2023-09-07,0.0
Kincaid #1,2021-12-27,619.0
Kirby #1,2021-04-19,871.0
Kleimann #1,2023-09-07,0.0
Kleimann #3,2023-06-09,90.0
LT #1,2023-09-06,1.0
La Rosita #1,2023-07-30,39.0
Lackey Five #1,2023-09-07,0.0
Lamb #1,2023-09-07,0.0
Lander #1,2023-09-05,2.0
Lansford #1,2018-09-01,1832.0
Leary Trust #1,2023-09-06,1.0
Lisa #1,2016-09-20,2543.0
Little 179 #1,2023-09-07,0.0
Lochte #1,2023-09-07,0.0
MDB #1,2023-09-07,0.0
Marguerite #1,2023-08-23,15.0
Marpick #1,2023-09-07,0.0
Marrs #1,2023-09-07,0.0
Mclean #1,2020-11-29,1012.0
Molak #1,2023-09-07,0.0
Montemayor #1,2023-04-14,146.0
Moreland #1,2023-07-30,39.0
Opa #1,2012-01-16,4252.0
PC #1,2023-09-07,0.0
Palm #1,2023-08-22,16.0
Parkway #1,2023-09-07,0.0
Pecan Grove #1,2023-06-02,97.0
Pfeiffer #1,2023-09-07,0.0
Pfeiffer #2,2022-09-01,371.0
Pickens #1,2023-09-01,6.0
Pickens Ranch #2H,2013-05-20,3762.0
Pickens Weaver #1,2023-09-07,0.0
Pickwill #1,2023-09-06,1.0
Preston #1,2023-08-21,17.0
Pritchett #1,2016-03-25,2722.0
RAB #1,2023-09-07,0.0
RAB #2,2023-09-07,0.0
RAB #3,2023-09-07,0.0
Rhodes #1,2022-11-05,306.0
Richard #1,2023-09-07,0.0
Richardson #1,2023-09-07,0.0
Rio Nueces #1,2013-08-23,3667.0
Ronald #1,2023-09-07,0.0
Russell #1,2023-09-07,0.0
Ruth #1,2023-09-07,0.0
Ruthpick #1,2023-09-07,0.0
Sansom #1,2023-09-07,0.0
Solansky #1,2023-09-06,1.0
Sugarland #1,2023-09-07,0.0
Tebo #1,2012-11-18,3945.0
Teel #1,2013-07-29,3692.0
Thalmann #1,2023-09-07,0.0
Thompson #1,2020-06-21,1173.0
Thompson #2,2023-09-07,0.0
Thuss #1,2023-09-07,0.0
Tlapek #1,2023-09-07,0.0
Tortuga Ranch #1H,2012-03-16,4192.0
Triple J #1,2011-06-02,4480.0
Triple J #2,2023-08-24,14.0
Triplitt Unit #1H,2011-10-31,4329.0
Trotter #1,2023-09-07,0.0
VRE Minerals #1,2023-09-07,0.0
Vermillion #1,2023-08-10,28.0
Verna #1,2023-08-04,34.0
Wagner Farms #1,2012-10-23,3971.0
White Marlin #1,2023-08-03,35.0
Whittington #1,2023-09-07,0.0
Woodward #1,2012-12-12,3921.0
