Well Name,Loads,Type,Dayts to Fill,Tank,Equalized,As of
Aaron #1,1,OIL,32.480000000000004,"138168, 138169",2,2024-06-10 16:19:26
Balfour #1,1,OIL,45.76,"Balfour Oil 1, Balfour Oil 2",2,2024-06-10 16:19:26
Barrier #1,1,OIL,156.68,269719,,2024-06-10 17:26:00
Beeler #16 RE,1,OIL,3.38,"600702, 600703",2,2024-06-10 15:49:37
Beeler #17,1,OIL,40.16,Beeler 17 H Oil,,2024-06-10 15:49:37
Beeler #17,1,WATER,45.52,Beeler 17 H Water,,2024-06-10 15:49:38
Big Sonny #1,1,WATER,5.91,Big Sonny Water,,2024-06-10 17:26:03
Blas Reyes #1,1,OIL,1163.19,269245,,2024-06-10 17:26:03
Bruce Weaver #2 Re,2,OIL,8.129999999999999,"Bruce Weaver 2 Oil 1, Bruce Weaver 2 Oil 2, Bruce Weaver 2 Oil 3",3,2024-06-11 10:58:57
Bruce Weaver #2 Re,1,WATER,2.47,Bruce Weaver 2 Water,,2024-06-11 10:58:57
Burns Ranch #2,1,OIL,27.75,BR2 Tank 1,,2024-06-10 17:25:59
CMWW #2,2,OIL,2.58,"CMWW2 Oil 1, CMWW2 Oil 2",2,2024-06-10 17:25:59
CR #201,1,OIL,52.16,CR 201 OIl 1,,2024-06-10 15:41:36
CR #201,1,WATER,410.6,CR 201 Water,,2024-06-10 15:41:36
CR #302,1,OIL,71.46,CR 302 Oil 1,,2024-06-10 15:41:36
CR #939,1,OIL,15.68,"CR 939 Oil Tank 1, CR 939 Oil Tank 2",2,2024-06-10 15:41:36
Cannan #1,1,OIL,71.56,261004,,2024-06-10 15:41:38
Carolyn #1,1,OIL,95.5,"138142, 138141",2,2024-06-10 15:49:38
Chad #1,1,OIL,352.12,"138165, 138164",2,2024-06-11 12:58:48
Circle T #1,1,OIL,25.490000000000002,261039,,2024-06-10 17:25:59
Dial #1 ST,1,OIL,351.58000000000004,ST265609,,2024-06-10 16:19:27
Dixondale #1,1,OIL,3.4499999999999997,"Dixondale Oil 1, Dixondale Oil 2, Dixondale Oil 3",3,2024-06-10 16:19:26
Drinkard #1,1,OIL,16.080000000000002,"Drinkard Oil 1, Drinkard Oil 2",2,2024-06-10 16:19:26
Drinkard #1,1,WATER,2.39,Drinkard Water 1,,2024-06-10 16:19:26
Evergreen #1,1,OIL,123.22,263287,,2024-06-10 15:41:37
Fatheree #1,1,OIL,16.6,"Fatheree 1 Oil 1, Fatheree 1 Oil 2",2,2024-06-10 15:49:37
Gail #1,1,WATER,17.08,Gail Water,,2024-06-11 12:58:48
Gil #1,1,OIL,295.27,262047,,2024-06-10 15:41:37
Gil #1,1,WATER,-1.0,Gil 1 Water,,2024-06-10 15:41:37
Grissom #1,1,WATER,-1.0,Grissom 1 Water,,2024-06-10 15:41:38
J Beeler #1,1,OIL,39.97,"272214, 272215, 272216",3,2024-06-11 10:58:58
JIC #1,1,WATER,10.51,JIC Water 1,,2024-06-10 18:02:07
JJ #1,1,WATER,1.86,JJ 1 Water 1,,2024-06-10 08:28:31
Jred #1,1,OIL,168.49,269085,,2024-06-10 15:41:37
Jred #1,1,OIL,168.49,269068,,2024-06-10 15:41:37
La Rosita #1 RE,1,OIL,16.29,261011,,2024-06-10 17:26:01
Little 179 #1,1,OIL,39.96,"Little 179 Oil 1, Little 179 Oil 2, Little 179 Oil 3, Little 179 Oil 4",4,2024-06-10 15:49:37
Lochte #1,1,OIL,77.84,Lochte 1 Oil 1,,2024-06-11 15:53:42
Lochte #1,1,WATER,300.48,Lochte 1 Water 1,,2024-06-11 15:53:42
Marrs #1,1,OIL,34.3,"Marrs Oil 1, Marrs Oil 2",2,2024-06-10 15:49:37
Parkway #1,1,OIL,29.759999999999998,"271277, 271278",2,2024-06-10 16:19:27
Pfeiffer #1,1,OIL,165.21,269057,,2024-06-10 16:19:26
Pfeiffer-Byrd #1,1,OIL,6.779999999999999,"Pfeiffer Byrd Oil 1, Pfeiffer Byrd Oil 2, Pfeiffer Byrd Oil 3",3,2024-06-10 16:19:26
RAB #1,2,OIL,24.76,"RAB 1 Oil 1, RAB 1 Oil 2, RAB 1 Oil 3, RAB 1 Oil 4",4,2024-06-11 12:58:48
RAB #2,1,OIL,15.32,"Rab 2 Oil 1, Rab 2 Oil 2, Rab 2 Oil 3, Rab 2 Oil 4",4,2024-06-11 12:58:48
RAB #3,1,OIL,35.34,"Rab 3 Oil 1, Rab 3 Oil 2",2,2024-06-11 12:58:49
Ruth #1,1,WATER,8.44,Ruth 1 Water,,2024-06-10 17:26:02
Sansom #1,1,WATER,40.45,Sansom Water 1,,2024-06-10 16:19:27
VRE Minerals #1,1,WATER,-1.0,VRE Minerals 1 Wtr 1,,2024-06-11 15:53:42
