Well Name,Last Production,Days since 2025-06-04
AB Pad 10 State #1,2025-06-04,0.0
Abenaki 10 State #1,2025-06-04,0.0
Abenaki 10 State #2,2025-06-04,0.0
Abenaki 10 State #2 & #3,,
Abenaki 10 State #3,2025-06-04,0.0
Beams 15 State #1,2025-06-04,0.0
Beams 15 State #2,2025-06-04,0.0
Beams 15 State #2 & 4,,
Beams 15 State #3,2020-08-01,1768.0
Beams 15 State #4,2025-06-03,1.0
Beams 15 State #5,2025-06-04,0.0
Bougainvillea 33 State #1,2025-06-04,0.0
CW 14 State #1,2025-05-29,6.0
Cameron 22 State #1,2025-06-04,0.0
Cooper 24 Federal Com #1,2020-08-01,1768.0
Hawkeye 30 State #1,2025-06-04,0.0
Henry 24 #1,2025-06-04,0.0
Henry 24 #2,2025-06-04,0.0
Ivy 4 State ,2025-06-04,0.0
Martin 11 State #1,2025-06-04,0.0
North Twinberry 5 State #1,2020-09-01,1737.0
Paddy 13 State #1,2025-06-04,0.0
Paddy 15 State #1,2025-06-04,0.0
Paddy 15 State #2,2025-06-04,0.0
Paddy 15 State #3,2025-06-04,0.0
Paddy 18 State #1,2025-06-04,0.0
Paddy 18 State #1 & #3,,
Paddy 18 State #2,2025-06-04,0.0
Paddy 18 State #3,2025-06-04,0.0
Paddy 19 State #1,2025-05-10,25.0
Paddy 19 State #1 #4 #5,,
Paddy 19 State #2,2025-06-04,0.0
Paddy 19 State #2 & #3,,
Paddy 19 State #3,2025-06-04,0.0
Paddy 19 State #4,2023-12-24,528.0
Paddy 19 State #5,2025-06-04,0.0
Paddy 20 State #1,2025-06-04,0.0
Paddy 23 State #1,2025-05-29,6.0
Raider 9 St #1,2025-06-04,0.0
Raider 9 St #2,2020-08-01,1768.0
Raider 9 St #3,2025-06-04,0.0
"Raider 9 St. #1, #3",,
Raider 9 State #1,2023-10-25,588.0
Raider 9 State #3,2023-10-25,588.0
Tech 16 State #1,2025-06-04,0.0
Triple A Fed # 3,2023-10-25,588.0
Triple A Fed #3,2023-09-12,631.0
