Well Name,Last Production,Days since 2025-05-05
Aaron #1,2025-05-04,1
Aniken #1,2025-05-04,1
Anna Louisa #1,2020-09-25,1683
Annpick #1,2025-05-04,1
Balfour #1,2025-05-04,1
Barrier #1,2025-05-04,1
Beeler #16 RE,2025-05-04,1
Beeler #17,2025-05-04,1
Beeler Ranch #1,2025-05-04,1
Bermuda #1,2025-05-03,2
Big Sonny #1,2025-05-04,1
Blackmon #1,2025-05-04,1
Blas Reyes #1,2025-05-04,1
Bond #1,2025-05-02,3
Bruce Weaver #1,2025-05-03,2
Bruce Weaver #2 RE,2025-05-03,2
Burns Ranch #2,2025-05-04,1
CMWW #1,2025-05-04,1
CMWW #2,2025-05-04,1
CR #101,2025-05-04,1
CR #201,2025-05-04,1
CR #301,2025-05-04,1
CR #302,2025-05-04,1
CR #401,2025-05-03,2
CR #501,2025-04-24,11
CR #939,2025-05-04,1
CT #1,2025-04-28,7
Cannan #1,2025-05-04,1
Carolpick #1,2025-05-04,1
Carolyn #1,2025-05-04,1
Cenizo #1,2025-05-04,1
Chad #1,2025-05-04,1
Charles B #1,2025-05-04,1
Circle T #1,2025-05-04,1
Cross S #1,2025-05-02,3
Dale #1,2025-04-25,10
Dial #1,2022-09-03,975
Dillard #1,2025-05-04,1
Dixondale #1,2025-05-04,1
Drinkard #1,2025-05-04,1
Dunkle #2,2025-04-26,9
Dunlap #1,2025-05-01,4
Dyess #1,2025-04-30,5
Eileen #1,2025-05-03,2
Evergreen #1,2025-05-04,1
Fatheree #1,2025-05-04,1
Flower #1,2025-05-04,1
Gail #1,2025-05-04,1
Gil #1,2025-05-04,1
Grissom #1,2025-05-04,1
J Beeler #1,2025-05-04,1
JIC #1,2025-05-04,1
JIC Buda #1,2025-05-04,1
JJ #1,2025-05-04,1
Jessica #1,2025-05-04,1
Joseph #1,2025-05-03,2
Jred #1,2025-05-04,1
Kay #1,2025-05-03,2
Kiley #1,2025-05-04,1
Kleimann #1,2025-05-04,1
LT #1,2025-05-03,2
La Rosita #1 RE,2025-05-02,3
Lackey Five #1,2025-05-04,1
Lamb #1,2025-01-21,104
Lander #1,2025-05-04,1
Leary Trust #1,2025-05-03,2
Little 179 #1,2025-05-04,1
Lochte #1,2025-05-04,1
MDB #1,2025-05-04,1
Marguerite #1,2025-05-04,1
Marpick #1,2025-04-30,5
Marrs #1,2025-05-04,1
Molak #1,2025-05-04,1
PC #1,2025-05-04,1
Parkway #1 RE,2025-05-04,1
Pfeiffer #1 RE,2025-05-03,2
Pfeiffer-Byrd #1,2025-05-04,1
Pickens #1,2025-05-02,3
Pickens Weaver #1,2025-05-04,1
Pickwill #1,2025-05-04,1
RAB #1,2025-05-04,1
RAB #2,2025-05-04,1
RAB #3,2025-05-04,1
Richard #1,2025-05-04,1
Richardson #1,2025-05-04,1
Ronald #1,2025-05-04,1
Russell #1,2025-05-04,1
Ruth #1,2025-05-04,1
Ruthpick #1,2025-05-04,1
Sansom #1,2025-05-04,1
Solansky #1,2025-05-04,1
Sugar Ranch #1,2025-05-03,2
Sugarland #1,2025-05-02,3
TJN Unit #1,2025-05-04,1
Thalmann #1 RE,2025-05-04,1
Thompson #1,2020-06-21,1779
Thompson #2,2025-05-04,1
Thuss #1,2025-05-04,1
Tlapek #1,2025-05-03,2
Tortuga Unit B 2Re,2024-08-15,263
Triple J #2,2023-12-22,500
Trotter #1,2025-03-21,45
Verna #1,2025-05-04,1
Whittington #1,2025-05-04,1
