Well Name_x,Well Key,Well Name_y,Property Number
CARROLL UNIT 1,carroll1,CARROLL #1,2400.001
FEATHER CREST FARMS 1,feathercrestfarms1,FEATHER CREST FARMS #1,2300.005
FRIDEL UNIT #1,fridel1,FRIDEL #1,2300.006
LLOYD #1,lloyd1,LLOYD #1,2300.011
MOSLEY 1,mosley1,MOSLEY #1,2400.002
PETERS 5,peters5,PETERS #5,2500.008
PETERS 6,peters6,PETERS #6,2500.009
PETERS UNIT 7,peters7,PETERS #7,2500.01
BEAL 1,beal1,BEAL #1,4900.007
DELLA 1,della1,DELLA #1,4900.014
FLORA 1,flora1,FLORA #1,4900.013
ISBELL 1,isbell1,ISBELL #1,4900.009
JOYCE 1,joyce1,JOYCE #1,1425.008
KAGG 2,kagg2,KAGG #2,4900.012
KNOTTS-YEAGER UNIT 1,knottsyeager1,KNOTTS YEAGER #1,4900.001
MYRTLE 1,myrtle1,Myrtle #1,1425.004
NEVILL 1,nevill1,NEVILL #1,4900.006
POST OAK 2,postoak2,POST OAK #2,6225.002
RA 1,ra1,RA #1,1425.002
RUEN 3X,ruen3x,RUEN #3X,1425.017
SUTTON 3,sutton3,SUTTON #3,1425.014
WEBB 1,webb1,WEBB #1,1425.012
WHITE-SPRINGER 1,whitespringer1,WHITE-SPRINGER #1,4150.005
WILLIAM 1,william1,WILLIAM #1,1425.003
WILLIE 1,willie1,WILLIE #1,4900.01
WS 1,ws1,WS #1,1425.015
BENGE UNIT 1H,benge1h,BENGE #1H,4150.004
BRADSHAW 1,bradshaw1,BRADSHAW #1,4150.008
CK 1,ck1,CK #1,6150.002
DRAKE 2,drake2,DRAKE #2,4150.011
FLOYD 1,floyd1,FLOYD #1,4150.01
HERBICH 1H,herbich1h,HERBICH #1H,4900.003
JAM 1,jam1,JAM #1,4150.001
KENNEDY 1,kennedy1,KENNEDY #1,6150.001
EVA #1,eva1,EVA #1,5100.003
KADAV 1,kadav1,KADAV #1,5100.005
SANDIFER UNIT 1,sandifer1,SANDIFER #1,5100.008
SPILLER T-BAR-X 1,spillertbarx1,SPILLER T BAR X #1,5100.011
